Generacion,Fitness
1,1616.75
2,1531.4
3,1480.1
4,1443.2
5,1415.15
6,1385.75
7,1369.5
8,1351.1
9,1335.3
10,1323.65
11,1310.5
12,1297.95
13,1285.65
14,1277.45
15,1268.35
16,1261.15
17,1254.0
18,1250.05
19,1240.15
20,1233.65
21,1225.05
22,1219.75
23,1211.75
24,1206.0
25,1199.65
26,1193.85
27,1186.65
28,1181.25
29,1175.95
30,1171.05
31,1168.4
32,1165.5
33,1159.5
34,1157.1
35,1152.25
36,1150.4
37,1146.45
38,1143.95
39,1141.65
40,1138.75
41,1134.1
42,1132.6
43,1128.3
44,1125.7
45,1123.1
46,1120.0
47,1116.9
48,1114.75
49,1112.0
50,1108.8
51,1106.25
52,1102.8
53,1099.45
54,1097.15
55,1093.9
56,1092.25
57,1089.9
58,1087.75
59,1085.9
60,1083.8
61,1082.35
62,1080.1
63,1078.5
64,1076.05
65,1074.55
66,1071.0
67,1069.5
68,1067.5
69,1064.55
70,1062.35
71,1060.05
72,1058.3
73,1057.1
74,1055.4
75,1053.35
76,1052.05
77,1049.8
78,1047.4
79,1045.3
80,1044.05
81,1040.7
82,1038.65
83,1036.95
84,1035.0
85,1033.45
86,1031.55
87,1029.9
88,1028.5
89,1026.75
90,1025.25
91,1023.6
92,1021.45
93,1019.85
94,1018.45
95,1017.1
96,1016.3
97,1015.1
98,1014.6
99,1011.75
100,1010.65
101,1009.4
102,1008.5
103,1005.05
104,1003.7
105,1002.55
106,1001.0
107,999.65
108,998.25
109,996.25
110,994.4
111,992.15
112,991.0
113,988.9
114,987.9
115,986.45
116,985.05
117,983.35
118,981.5
119,980.55
120,978.45
121,977.5
122,976.05
123,974.7
124,973.35
125,971.85
126,970.55
127,969.5
128,968.35
129,967.1
130,965.35
131,964.15
132,962.5
133,961.35
134,960.15
135,959.25
136,958.25
137,957.15
138,955.95
139,954.8
140,953.75
141,952.45
142,951.25
143,949.7
144,948.8
145,947.4
146,946.5
147,945.1
148,943.7
149,942.65
150,942.05
151,940.85
152,940.0
153,939.2
154,938.55
155,937.35
156,936.35
157,935.45
158,934.45
159,933.2
160,932.0
161,930.95
162,930.25
163,929.55
164,928.0
165,926.85
166,925.6
167,924.6
168,923.35
169,922.5
170,921.4
171,920.3
172,918.85
173,918.15
174,917.1
175,915.75
176,914.6
177,914.05
178,913.15
179,912.2
180,911.0
181,909.75
182,908.9
183,908.1
184,907.25
185,906.3
186,905.85
187,905.15
188,903.95
189,903.0
190,902.1
191,900.4
192,899.35
193,898.95
194,898.0
195,897.25
196,896.8
197,895.85
198,895.2
199,894.65
200,893.55
